route_id,service_id,trip_id,direction_id
CL,DAILY,CR_UP_97604_12,1
CL,DAILY,CR_UP_97604_13,1
CL,DAILY,CR_UP_97604_14,1
CL,DAILY,CR_UP_97604_15,1
CL,DAILY,CR_UP_97604_16,1
CL,DAILY,CR_UP_97604_17,1
CL,DAILY,CR_UP_97604_18,1
CL,DAILY,CR_UP_97604_19,1
CL,DAILY,CR_UP_97604_20,1
CL,DAILY,CR_UP_97604_22,1
CL,DAILY,CR_UP_97604_23,1
CL,DAILY,CR_UP_97604_24,1
CL,DAILY,CR_UP_97604_25,1
CL,DAILY,CR_UP_97604_26,1
CL,DAILY,CR_UP_97604_27,1
CL,DAILY,CR_UP_96302_1,1
CL,DAILY,CR_UP_96302_2,1
CL,DAILY,CR_UP_96302_3,1
CL,DAILY,CR_UP_96302_4,1
CL,DAILY,CR_UP_96302_5,1
CL,DAILY,CR_UP_96302_6,1
CL,DAILY,CR_UP_96302_7,1
CL,DAILY,CR_UP_96302_8,1
CL,DAILY,CR_UP_96302_9,1
CL,DAILY,CR_UP_96302_10,1
CL,DAILY,CR_UP_96302_11,1
CL,DAILY,CR_UP_96302_12,1
CL,DAILY,CR_UP_96302_13,1
CL,DAILY,CR_UP_96302_14,1
CL,DAILY,CR_UP_96302_15,1
CL,DAILY,CR_UP_96302_16,1
CL,DAILY,CR_UP_96302_17,1
CL,DAILY,CR_UP_96302_18,1
CL,DAILY,CR_UP_96302_19,1
CL,DAILY,CR_UP_96302_20,1
CL,DAILY,CR_UP_96302_21,1
CL,DAILY,CR_UP_96302_22,1
CL,DAILY,CR_UP_96302_23,1
CL,DAILY,CR_UP_96302_24,1
CL,DAILY,CR_UP_96302_25,1
CL,DAILY,CR_UP_96302_26,1
CL,DAILY,CR_UP_96302_27,1
CL,DAILY,CR_UP_96302_28,1
CL,DAILY,CR_UP_96302_29,1
CL,DAILY,CR_UP_96302_30,1
CL,DAILY,CR_UP_97306_1,1
CL,DAILY,CR_UP_97306_2,1
CL,DAILY,CR_UP_97306_3,1
CL,DAILY,CR_UP_97306_4,1
CL,DAILY,CR_UP_97306_8,1
CL,DAILY,CR_UP_97306_9,1
CL,DAILY,CR_UP_97306_10,1
CL,DAILY,CR_UP_97306_11,1
CL,DAILY,CR_UP_97306_12,1
CL,DAILY,CR_UP_97306_13,1
CL,DAILY,CR_UP_97306_14,1
CL,DAILY,CR_UP_97306_15,1
CL,DAILY,CR_UP_97306_16,1
CL,DAILY,CR_UP_97306_17,1
CL,DAILY,CR_UP_97306_18,1
CL,DAILY,CR_UP_97306_19,1
CL,DAILY,CR_UP_97306_20,1
CL,DAILY,CR_UP_97306_21,1
